train_id,source_station,destination_station,train_capacity,booked_seats,available_seats,waiting_list_count,day_type,festival_flag,travel_date,crowd_level
TR1043,Trichy,Coimbatore,1000,549,451,10,Weekday,No,2024-11-20,medium
TR1015,Tirunelveli,Salem,1200,710,490,56,Weekday,No,2024-11-25,medium
TR1052,Salem,Trichy,1000,543,457,47,Weekend,No,2024-06-15,medium
TR1001,Hyderabad,Madurai,1200,1147,53,47,Weekday,No,2024-03-08,high
TR1053,Bangalore,Coimbatore,1000,603,397,42,Weekend,No,2025-02-09,medium
TR1043,Trichy,Coimbatore,1000,759,241,24,Weekend,No,2025-10-11,high
TR1054,Salem,Chennai,1000,580,420,33,Weekday,No,2024-02-16,medium
TR1018,Erode,Coimbatore,1200,1103,97,167,Weekday,No,2025-09-19,high
TR1002,Coimbatore,Trichy,1200,1037,163,206,Weekday,No,2025-08-27,high
TR1019,Chennai,Madurai,1200,871,329,17,Weekend,Yes,2024-07-21,medium
TR1061,Bangalore,Madurai,800,345,455,17,Weekend,No,2025-04-06,medium
TR1033,Madurai,Bangalore,1000,749,251,85,Weekday,No,2024-04-30,medium
TR1067,Madurai,Chennai,800,345,455,15,Weekday,No,2025-07-08,medium
TR1008,Salem,Bangalore,1200,844,356,88,Weekday,No,2025-05-27,medium
TR1005,Erode,Salem,1200,1105,95,73,Weekday,No,2024-09-16,high
TR1008,Salem,Bangalore,1200,1018,182,27,Weekday,No,2024-02-19,high
TR1023,Hyderabad,Coimbatore,1200,939,261,69,Weekday,No,2025-12-10,high
TR1009,Trichy,Madurai,1200,872,328,85,Weekday,No,2024-11-21,medium
TR1025,Chennai,Coimbatore,1200,826,374,12,Weekday,No,2025-10-14,medium
TR1005,Erode,Salem,1200,976,224,106,Weekend,No,2025-05-10,high
TR1010,Hyderabad,Bangalore,1200,981,219,105,Weekday,No,2025-07-22,high
TR1006,Erode,Bangalore,1200,1093,107,54,Weekday,No,2025-07-09,high
TR1026,Chennai,Erode,1200,866,334,43,Weekday,No,2024-05-22,medium
TR1034,Chennai,Bangalore,1000,819,181,71,Weekday,No,2024-09-23,high
TR1053,Bangalore,Coimbatore,1000,638,362,29,Weekend,No,2024-12-07,medium
TR1045,Salem,Hyderabad,1000,579,421,15,Weekend,No,2024-12-29,medium
TR1025,Chennai,Coimbatore,1200,910,290,68,Weekday,No,2024-02-02,high
TR1020,Coimbatore,Madurai,1200,1032,168,213,Weekday,Yes,2025-02-03,high
TR1033,Madurai,Bangalore,1000,820,180,43,Weekday,No,2024-04-22,high
TR1015,Tirunelveli,Salem,1200,982,218,34,Weekday,No,2025-06-27,high
TR1005,Erode,Salem,1200,985,215,91,Weekday,No,2025-05-14,high
TR1051,Trichy,Erode,1000,548,452,34,Weekday,No,2025-11-05,medium
TR1033,Madurai,Bangalore,1000,707,293,86,Weekend,No,2025-06-28,medium
TR1055,Hyderabad,Erode,1000,700,300,38,Weekday,No,2024-09-25,medium
TR1011,Tirunelveli,Bangalore,1200,948,252,93,Weekday,No,2025-12-08,high
TR1034,Chennai,Bangalore,1000,697,303,43,Weekend,No,2024-10-27,medium
TR1012,Tirunelveli,Erode,1200,911,289,76,Weekday,No,2024-08-26,high
TR1027,Bangalore,Salem,1200,799,401,27,Weekday,No,2025-10-23,medium
TR1028,Trichy,Salem,1200,815,385,27,Weekday,No,2024-09-27,medium
TR1007,Hyderabad,Tirunelveli,1200,957,243,39,Weekend,No,2024-02-25,high
TR1038,Chennai,Trichy,1000,766,234,59,Weekday,No,2024-12-09,high
TR1018,Erode,Coimbatore,1200,845,355,76,Weekday,No,2025-08-04,medium
TR1002,Coimbatore,Trichy,1200,1025,175,168,Weekend,No,2024-05-18,high
TR1054,Salem,Chennai,1000,497,503,46,Weekday,No,2024-12-04,medium
TR1004,Tirunelveli,Trichy,1200,1051,149,107,Weekday,No,2024-04-04,high
TR1012,Tirunelveli,Erode,1200,1038,162,171,Weekday,No,2025-05-16,high
TR1017,Bangalore,Hyderabad,1200,1024,176,118,Weekday,No,2024-12-13,high
TR1040,Tirunelveli,Madurai,1000,645,355,21,Weekday,No,2024-08-29,medium
TR1034,Chennai,Bangalore,1000,706,294,28,Weekday,No,2024-06-14,medium
TR1071,Coimbatore,Bangalore,600,218,382,15,Weekend,No,2025-02-16,low
TR1046,Erode,Hyderabad,1000,640,360,40,Weekend,No,2025-05-04,medium
TR1009,Trichy,Madurai,1200,936,264,33,Weekday,No,2025-11-18,high
TR1017,Bangalore,Hyderabad,1200,874,326,18,Weekday,No,2024-11-15,medium
TR1056,Salem,Coimbatore,1000,577,423,16,Weekend,No,2024-04-27,medium
TR1011,Tirunelveli,Bangalore,1200,950,250,118,Weekend,No,2025-08-31,high
TR1062,Trichy,Tirunelveli,800,409,391,8,Weekend,No,2025-04-05,medium
TR1068,Tirunelveli,Coimbatore,800,361,439,8,Weekday,No,2025-05-26,medium
TR1022,Coimbatore,Hyderabad,1200,994,206,54,Weekday,No,2024-03-12,high
TR1022,Coimbatore,Hyderabad,1200,1091,109,108,Weekday,No,2024-08-16,high
TR1003,Coimbatore,Chennai,1200,866,334,111,Weekday,No,2025-07-15,medium
TR1007,Hyderabad,Tirunelveli,1200,823,377,14,Weekend,No,2025-08-31,medium
TR1013,Bangalore,Chennai,1200,814,386,25,Weekday,No,2024-11-14,medium
TR1006,Erode,Bangalore,1200,934,266,41,Weekday,No,2025-08-11,high
TR1045,Salem,Hyderabad,1000,669,331,14,Weekend,No,2025-09-07,medium
TR1029,Madurai,Trichy,1200,887,313,45,Weekday,No,2024-10-10,medium
TR1039,Coimbatore,Erode,1000,643,357,15,Weekend,No,2025-10-18,medium
TR1033,Madurai,Bangalore,1000,703,297,89,Weekday,No,2024-07-29,medium
TR1044,Bangalore,Trichy,1000,542,458,47,Weekday,No,2024-06-24,medium
TR1053,Bangalore,Coimbatore,1000,546,454,10,Weekday,No,2025-05-13,medium
TR1053,Bangalore,Coimbatore,1000,564,436,29,Weekday,Yes,2025-04-10,medium
TR1006,Erode,Bangalore,1200,792,408,15,Weekday,No,2024-04-12,medium
TR1043,Trichy,Coimbatore,1000,504,496,52,Weekend,Yes,2025-08-31,medium
TR1057,Trichy,Chennai,1000,476,524,6,Weekend,Yes,2024-05-26,medium
TR1008,Salem,Bangalore,1200,980,220,55,Weekday,No,2025-08-11,high
TR1035,Salem,Tirunelveli,1000,680,320,19,Weekend,No,2024-01-06,medium
TR1018,Erode,Coimbatore,1200,927,273,49,Weekday,No,2025-08-05,high
TR1009,Trichy,Madurai,1200,730,470,56,Weekday,No,2025-07-29,medium
TR1058,Chennai,Salem,1000,447,553,32,Weekday,No,2025-07-24,medium
TR1026,Chennai,Erode,1200,894,306,51,Weekday,No,2025-05-01,medium
TR1021,Tirunelveli,Hyderabad,1200,602,598,48,Weekday,No,2024-12-10,medium
TR1061,Bangalore,Madurai,800,506,294,46,Weekday,No,2025-05-30,medium
TR1038,Chennai,Trichy,1000,483,517,8,Weekend,No,2024-07-21,medium
TR1009,Trichy,Madurai,1200,987,213,60,Weekday,No,2025-07-24,high
TR1061,Bangalore,Madurai,800,370,430,24,Weekday,No,2025-02-10,medium
TR1014,Salem,Madurai,1200,969,231,59,Weekend,No,2024-12-01,high
TR1052,Salem,Trichy,1000,822,178,48,Weekend,Yes,2025-01-04,high
TR1001,Hyderabad,Madurai,1200,802,398,49,Weekday,No,2025-02-19,medium
TR1054,Salem,Chennai,1000,621,379,59,Weekend,No,2024-01-28,medium
TR1001,Hyderabad,Madurai,1200,846,354,12,Weekday,No,2024-04-12,medium
TR1001,Hyderabad,Madurai,1200,1061,139,194,Weekday,No,2024-06-28,high
TR1002,Coimbatore,Trichy,1200,1000,200,105,Weekend,No,2024-03-24,high
TR1018,Erode,Coimbatore,1200,881,319,50,Weekend,Yes,2024-11-17,medium
TR1012,Tirunelveli,Erode,1200,819,381,29,Weekend,No,2025-05-03,medium
TR1020,Coimbatore,Madurai,1200,943,257,21,Weekday,No,2025-04-23,high
TR1049,Chennai,Hyderabad,1000,450,550,21,Weekday,No,2024-12-10,medium
TR1023,Hyderabad,Coimbatore,1200,950,250,36,Weekday,No,2025-09-17,high
TR1038,Chennai,Trichy,1000,596,404,54,Weekday,No,2025-02-17,medium
TR1059,Trichy,Bangalore,1000,454,546,6,Weekday,No,2024-02-27,medium
TR1005,Erode,Salem,1200,1135,65,101,Weekend,Yes,2025-07-13,high
TR1004,Tirunelveli,Trichy,1200,976,224,62,Weekday,No,2025-02-24,high
TR1036,Erode,Chennai,1000,813,187,117,Weekday,No,2025-04-08,high
TR1048,Madurai,Tirunelveli,1000,663,337,49,Weekday,No,2025-02-17,medium
TR1013,Bangalore,Chennai,1200,830,370,56,Weekend,No,2025-02-08,medium
TR1065,Erode,Madurai,800,397,403,18,Weekday,No,2024-03-07,medium
TR1041,Coimbatore,Tirunelveli,1000,639,361,16,Weekday,No,2025-02-12,medium
TR1032,Bangalore,Tirunelveli,1000,783,217,72,Weekday,No,2025-08-04,high
TR1065,Erode,Madurai,800,430,370,20,Weekend,No,2024-08-10,medium
TR1022,Coimbatore,Hyderabad,1200,847,353,11,Weekend,No,2025-03-16,medium
TR1001,Hyderabad,Madurai,1200,1001,199,99,Weekday,No,2024-01-23,high
TR1062,Trichy,Tirunelveli,800,424,376,5,Weekday,Yes,2024-09-11,medium
TR1027,Bangalore,Salem,1200,956,244,31,Weekday,No,2024-11-15,high
TR1007,Hyderabad,Tirunelveli,1200,945,255,113,Weekday,No,2025-12-19,high
TR1006,Erode,Bangalore,1200,906,294,90,Weekday,No,2024-06-05,high
TR1001,Hyderabad,Madurai,1200,966,234,80,Weekend,No,2024-07-21,high
TR1042,Coimbatore,Salem,1000,585,415,7,Weekday,No,2024-10-25,medium
TR1034,Chennai,Bangalore,1000,548,452,15,Weekday,No,2025-12-26,medium
TR1036,Erode,Chennai,1000,600,400,12,Weekday,No,2025-09-15,medium
TR1058,Chennai,Salem,1000,686,314,38,Weekday,No,2024-01-26,medium
TR1029,Madurai,Trichy,1200,811,389,30,Weekday,No,2024-06-20,medium
TR1054,Salem,Chennai,1000,622,378,21,Weekend,No,2025-08-23,medium
TR1029,Madurai,Trichy,1200,593,607,44,Weekday,No,2024-02-12,medium
TR1063,Bangalore,Erode,800,464,336,46,Weekday,No,2025-09-17,medium
TR1061,Bangalore,Madurai,800,417,383,44,Weekday,No,2024-07-24,medium
TR1019,Chennai,Madurai,1200,822,378,6,Weekend,Yes,2025-11-01,medium
TR1067,Madurai,Chennai,800,388,412,36,Weekday,No,2024-08-02,medium
TR1005,Erode,Salem,1200,935,265,33,Weekday,No,2024-11-13,high
TR1068,Tirunelveli,Coimbatore,800,241,559,16,Weekday,No,2025-04-28,low
TR1016,Hyderabad,Trichy,1200,957,243,117,Weekday,No,2024-04-02,high
TR1023,Hyderabad,Coimbatore,1200,854,346,55,Weekday,No,2025-02-11,medium
TR1064,Madurai,Hyderabad,800,382,418,47,Weekend,No,2025-01-04,medium
TR1058,Chennai,Salem,1000,488,512,14,Weekend,No,2025-07-27,medium
TR1030,Chennai,Tirunelveli,1200,689,511,58,Weekday,Yes,2025-12-29,medium
TR1006,Erode,Bangalore,1200,966,234,40,Weekday,No,2025-04-30,high
TR1033,Madurai,Bangalore,1000,790,210,30,Weekend,Yes,2024-10-26,high
TR1013,Bangalore,Chennai,1200,926,274,45,Weekday,No,2024-10-24,high
TR1001,Hyderabad,Madurai,1200,887,313,29,Weekday,No,2024-11-01,medium
TR1037,Madurai,Erode,1000,679,321,35,Weekday,No,2025-08-18,medium
TR1010,Hyderabad,Bangalore,1200,901,299,25,Weekday,No,2024-08-22,high
TR1062,Trichy,Tirunelveli,800,483,317,12,Weekday,No,2024-05-02,medium
TR1035,Salem,Tirunelveli,1000,709,291,87,Weekend,No,2024-09-01,medium
TR1015,Tirunelveli,Salem,1200,582,618,2,Weekday,No,2024-01-17,medium
TR1015,Tirunelveli,Salem,1200,921,279,58,Weekday,No,2024-03-18,high
TR1050,Tirunelveli,Chennai,1000,486,514,41,Weekday,No,2024-03-06,medium
TR1009,Trichy,Madurai,1200,770,430,26,Weekday,No,2025-07-18,medium
TR1031,Madurai,Coimbatore,1200,812,388,1,Weekday,No,2025-06-12,medium
TR1002,Coimbatore,Trichy,1200,1059,141,68,Weekend,No,2025-05-24,high
TR1006,Erode,Bangalore,1200,787,413,58,Weekday,No,2024-12-03,medium
TR1072,Trichy,Hyderabad,600,260,340,46,Weekend,No,2025-06-08,medium
TR1009,Trichy,Madurai,1200,980,220,48,Weekend,No,2024-04-27,high
TR1048,Madurai,Tirunelveli,1000,570,430,52,Weekday,No,2025-10-20,medium
TR1028,Trichy,Salem,1200,747,453,0,Weekday,No,2025-01-01,medium
TR1035,Salem,Tirunelveli,1000,582,418,2,Weekend,No,2025-11-16,medium
TR1046,Erode,Hyderabad,1000,679,321,53,Weekend,No,2024-04-21,medium
TR1026,Chennai,Erode,1200,685,515,40,Weekend,No,2024-12-29,medium
TR1033,Madurai,Bangalore,1000,746,254,75,Weekend,No,2025-05-24,medium
TR1065,Erode,Madurai,800,392,408,20,Weekend,No,2024-12-28,medium
TR1007,Hyderabad,Tirunelveli,1200,935,265,99,Weekday,Yes,2024-11-22,high
TR1021,Tirunelveli,Hyderabad,1200,704,496,36,Weekday,No,2024-05-01,medium
TR1025,Chennai,Coimbatore,1200,816,384,26,Weekend,No,2024-10-05,medium
TR1036,Erode,Chennai,1000,710,290,51,Weekend,Yes,2024-06-23,medium
TR1049,Chennai,Hyderabad,1000,459,541,21,Weekday,Yes,2024-08-08,medium
TR1025,Chennai,Coimbatore,1200,878,322,73,Weekday,No,2025-05-14,medium
TR1030,Chennai,Tirunelveli,1200,839,361,39,Weekend,No,2025-04-05,medium
TR1028,Trichy,Salem,1200,769,431,48,Weekday,No,2025-03-19,medium
TR1033,Madurai,Bangalore,1000,729,271,54,Weekend,No,2024-09-21,medium
TR1056,Salem,Coimbatore,1000,390,610,15,Weekday,Yes,2025-12-02,low
TR1019,Chennai,Madurai,1200,902,298,71,Weekday,No,2024-03-05,high
TR1029,Madurai,Trichy,1200,986,214,74,Weekend,No,2024-09-07,high
TR1047,Erode,Trichy,1000,713,287,40,Weekday,No,2024-03-27,medium
TR1044,Bangalore,Trichy,1000,629,371,4,Weekday,Yes,2024-09-04,medium
TR1034,Chennai,Bangalore,1000,636,364,19,Weekday,No,2025-12-04,medium
TR1040,Tirunelveli,Madurai,1000,578,422,4,Weekday,No,2024-09-24,medium
TR1007,Hyderabad,Tirunelveli,1200,915,285,19,Weekend,No,2025-10-26,high
TR1059,Trichy,Bangalore,1000,609,391,57,Weekday,Yes,2024-12-27,medium
TR1052,Salem,Trichy,1000,501,499,46,Weekday,No,2025-05-26,medium
TR1028,Trichy,Salem,1200,903,297,13,Weekend,Yes,2024-11-30,high
TR1018,Erode,Coimbatore,1200,1073,127,102,Weekend,No,2024-07-13,high
TR1035,Salem,Tirunelveli,1000,656,344,15,Weekend,No,2025-07-12,medium
TR1051,Trichy,Erode,1000,458,542,58,Weekday,No,2025-12-09,medium
TR1045,Salem,Hyderabad,1000,490,510,26,Weekday,No,2024-07-11,medium
TR1030,Chennai,Tirunelveli,1200,905,295,38,Weekday,No,2025-07-23,high
TR1008,Salem,Bangalore,1200,901,299,79,Weekday,No,2024-07-09,high
TR1060,Erode,Tirunelveli,1000,636,364,28,Weekend,No,2025-06-08,medium
TR1053,Bangalore,Coimbatore,1000,523,477,11,Weekday,No,2025-07-30,medium
TR1022,Coimbatore,Hyderabad,1200,910,290,43,Weekend,No,2024-11-24,high
TR1005,Erode,Salem,1200,967,233,24,Weekend,No,2025-06-22,high
TR1010,Hyderabad,Bangalore,1200,836,364,41,Weekday,No,2024-07-18,medium
TR1026,Chennai,Erode,1200,792,408,58,Weekday,No,2024-02-27,medium
TR1041,Coimbatore,Tirunelveli,1000,533,467,48,Weekday,No,2024-03-11,medium
TR1035,Salem,Tirunelveli,1000,820,180,51,Weekday,No,2024-11-22,high
TR1011,Tirunelveli,Bangalore,1200,897,303,63,Weekday,No,2025-10-21,medium
TR1014,Salem,Madurai,1200,930,270,16,Weekday,No,2024-04-03,high
TR1056,Salem,Coimbatore,1000,523,477,22,Weekday,No,2024-11-29,medium
TR1050,Tirunelveli,Chennai,1000,482,518,1,Weekday,No,2025-05-29,medium
TR1040,Tirunelveli,Madurai,1000,610,390,44,Weekday,No,2024-05-27,medium
TR1045,Salem,Hyderabad,1000,685,315,54,Weekday,No,2025-06-11,medium
TR1039,Coimbatore,Erode,1000,587,413,11,Weekend,No,2024-08-11,medium
TR1064,Madurai,Hyderabad,800,346,454,40,Weekday,No,2025-08-14,medium
TR1032,Bangalore,Tirunelveli,1000,673,327,35,Weekday,No,2025-02-27,medium
TR1057,Trichy,Chennai,1000,606,394,25,Weekday,No,2025-02-03,medium
TR1004,Tirunelveli,Trichy,1200,1140,60,172,Weekday,No,2024-05-09,high
TR1033,Madurai,Bangalore,1000,689,311,40,Weekday,No,2024-12-04,medium
TR1039,Coimbatore,Erode,1000,680,320,16,Weekday,Yes,2025-09-18,medium
TR1002,Coimbatore,Trichy,1200,1089,111,183,Weekday,No,2024-01-15,high
TR1022,Coimbatore,Hyderabad,1200,720,480,39,Weekday,No,2025-07-08,medium
TR1022,Coimbatore,Hyderabad,1200,738,462,18,Weekday,No,2024-12-26,medium
TR1002,Coimbatore,Trichy,1200,916,284,90,Weekday,No,2025-06-09,high
TR1057,Trichy,Chennai,1000,459,541,38,Weekday,Yes,2025-04-29,medium
TR1047,Erode,Trichy,1000,661,339,7,Weekday,No,2024-11-11,medium
TR1015,Tirunelveli,Salem,1200,896,304,28,Weekday,No,2024-08-13,medium
TR1020,Coimbatore,Madurai,1200,876,324,45,Weekday,No,2025-04-03,medium
TR1029,Madurai,Trichy,1200,582,618,2,Weekday,No,2024-04-12,medium
TR1059,Trichy,Bangalore,1000,730,270,54,Weekend,No,2025-03-02,medium
TR1044,Bangalore,Trichy,1000,526,474,27,Weekend,No,2024-03-10,medium
TR1063,Bangalore,Erode,800,559,241,46,Weekend,No,2025-04-20,medium
TR1061,Bangalore,Madurai,800,335,465,10,Weekday,No,2025-04-04,medium
TR1020,Coimbatore,Madurai,1200,790,410,34,Weekend,No,2024-03-02,medium
TR1044,Bangalore,Trichy,1000,421,579,39,Weekday,No,2025-07-07,medium
TR1055,Hyderabad,Erode,1000,595,405,26,Weekday,No,2024-10-30,medium
TR1049,Chennai,Hyderabad,1000,478,522,54,Weekday,No,2025-07-29,medium
TR1018,Erode,Coimbatore,1200,765,435,19,Weekday,No,2024-01-31,medium
TR1031,Madurai,Coimbatore,1200,699,501,24,Weekend,Yes,2024-05-11,medium
TR1010,Hyderabad,Bangalore,1200,981,219,10,Weekday,No,2024-12-27,high
TR1007,Hyderabad,Tirunelveli,1200,1013,187,55,Weekday,No,2024-05-17,high
TR1037,Madurai,Erode,1000,805,195,12,Weekday,No,2024-08-29,high
TR1057,Trichy,Chennai,1000,511,489,59,Weekend,No,2025-04-27,medium
TR1045,Salem,Hyderabad,1000,615,385,14,Weekday,No,2024-04-15,medium
TR1022,Coimbatore,Hyderabad,1200,707,493,48,Weekend,No,2025-05-10,medium
TR1023,Hyderabad,Coimbatore,1200,798,402,7,Weekend,No,2024-03-16,medium
TR1025,Chennai,Coimbatore,1200,781,419,16,Weekday,Yes,2024-05-08,medium
TR1023,Hyderabad,Coimbatore,1200,875,325,23,Weekday,No,2025-03-05,medium
TR1024,Hyderabad,Salem,1200,928,272,50,Weekend,Yes,2025-08-03,high
TR1053,Bangalore,Coimbatore,1000,645,355,36,Weekend,Yes,2024-05-04,medium
TR1003,Coimbatore,Chennai,1200,901,299,56,Weekday,No,2024-08-07,high
TR1016,Hyderabad,Trichy,1200,964,236,76,Weekday,Yes,2025-11-07,high
TR1042,Coimbatore,Salem,1000,625,375,48,Weekday,No,2025-12-24,medium
TR1043,Trichy,Coimbatore,1000,571,429,2,Weekday,No,2025-02-28,medium
TR1065,Erode,Madurai,800,357,443,25,Weekday,No,2024-11-22,medium
TR1067,Madurai,Chennai,800,341,459,35,Weekday,No,2024-09-10,medium
TR1047,Erode,Trichy,1000,737,263,67,Weekend,No,2025-03-23,medium
TR1049,Chennai,Hyderabad,1000,590,410,8,Weekday,No,2025-03-07,medium
TR1033,Madurai,Bangalore,1000,674,326,12,Weekend,No,2024-08-03,medium
TR1012,Tirunelveli,Erode,1200,881,319,51,Weekday,No,2024-01-17,medium
TR1042,Coimbatore,Salem,1000,825,175,81,Weekend,No,2024-04-20,high
TR1070,Madurai,Salem,600,307,293,59,Weekday,No,2025-12-01,medium
TR1023,Hyderabad,Coimbatore,1200,761,439,22,Weekday,No,2024-11-01,medium
TR1004,Tirunelveli,Trichy,1200,956,244,67,Weekday,No,2024-12-18,high
TR1067,Madurai,Chennai,800,363,437,18,Weekend,No,2024-12-07,medium
TR1047,Erode,Trichy,1000,609,391,2,Weekend,No,2025-07-26,medium
TR1057,Trichy,Chennai,1000,510,490,23,Weekend,No,2024-02-17,medium
TR1065,Erode,Madurai,800,430,370,20,Weekday,No,2024-03-01,medium
TR1051,Trichy,Erode,1000,682,318,9,Weekend,No,2024-07-20,medium
TR1006,Erode,Bangalore,1200,818,382,40,Weekend,No,2024-12-21,medium
TR1011,Tirunelveli,Bangalore,1200,798,402,15,Weekday,No,2025-05-05,medium
TR1031,Madurai,Coimbatore,1200,784,416,13,Weekday,No,2024-12-24,medium
TR1057,Trichy,Chennai,1000,531,469,23,Weekday,No,2024-11-18,medium
TR1008,Salem,Bangalore,1200,1098,102,213,Weekend,No,2025-11-16,high
TR1012,Tirunelveli,Erode,1200,1002,198,80,Weekend,Yes,2024-04-27,high
TR1020,Coimbatore,Madurai,1200,959,241,56,Weekday,No,2025-02-21,high
TR1031,Madurai,Coimbatore,1200,805,395,49,Weekday,No,2025-01-31,medium
TR1055,Hyderabad,Erode,1000,543,457,1,Weekday,No,2024-12-12,medium
TR1035,Salem,Tirunelveli,1000,544,456,20,Weekday,No,2025-08-13,medium
TR1010,Hyderabad,Bangalore,1200,981,219,69,Weekend,No,2024-07-14,high
TR1017,Bangalore,Hyderabad,1200,916,284,63,Weekday,No,2025-11-28,high
TR1032,Bangalore,Tirunelveli,1000,763,237,84,Weekday,No,2024-08-30,high
TR1021,Tirunelveli,Hyderabad,1200,848,352,87,Weekend,No,2025-02-02,medium
TR1022,Coimbatore,Hyderabad,1200,817,383,27,Weekday,No,2025-01-15,medium
TR1036,Erode,Chennai,1000,674,326,55,Weekend,No,2025-09-13,medium
TR1005,Erode,Salem,1200,1068,132,207,Weekend,No,2024-11-16,high
TR1010,Hyderabad,Bangalore,1200,765,435,28,Weekend,No,2024-07-27,medium
TR1058,Chennai,Salem,1000,625,375,54,Weekday,No,2024-01-16,medium
TR1047,Erode,Trichy,1000,596,404,38,Weekend,No,2024-09-22,medium
TR1037,Madurai,Erode,1000,576,424,8,Weekday,No,2025-08-27,medium
TR1027,Bangalore,Salem,1200,630,570,7,Weekday,No,2024-01-08,medium
TR1011,Tirunelveli,Bangalore,1200,893,307,18,Weekday,No,2025-10-17,medium
TR1068,Tirunelveli,Coimbatore,800,469,331,12,Weekday,No,2025-01-31,medium
TR1010,Hyderabad,Bangalore,1200,1067,133,96,Weekday,No,2024-04-12,high
TR1001,Hyderabad,Madurai,1200,1054,146,52,Weekday,No,2024-08-08,high
TR1011,Tirunelveli,Bangalore,1200,1095,105,149,Weekend,No,2025-02-09,high
TR1029,Madurai,Trichy,1200,826,374,24,Weekend,No,2024-08-18,medium
TR1060,Erode,Tirunelveli,1000,642,358,36,Weekday,No,2024-03-20,medium
TR1044,Bangalore,Trichy,1000,561,439,30,Weekday,No,2025-05-01,medium
TR1026,Chennai,Erode,1200,781,419,16,Weekday,No,2025-05-06,medium
TR1055,Hyderabad,Erode,1000,512,488,36,Weekday,No,2024-03-27,medium
TR1047,Erode,Trichy,1000,433,567,57,Weekday,No,2024-07-24,medium
TR1025,Chennai,Coimbatore,1200,954,246,44,Weekday,No,2024-06-27,high
TR1041,Coimbatore,Tirunelveli,1000,578,422,18,Weekend,No,2025-04-27,medium
TR1045,Salem,Hyderabad,1000,533,467,30,Weekday,No,2025-06-17,medium
TR1046,Erode,Hyderabad,1000,503,497,48,Weekend,Yes,2025-06-15,medium
TR1049,Chennai,Hyderabad,1000,549,451,31,Weekday,No,2025-11-17,medium
TR1052,Salem,Trichy,1000,707,293,101,Weekday,No,2025-07-15,medium
TR1027,Bangalore,Salem,1200,1032,168,53,Weekday,No,2024-08-22,high
TR1052,Salem,Trichy,1000,433,567,5,Weekday,No,2024-03-19,medium
TR1002,Coimbatore,Trichy,1200,986,214,54,Weekday,No,2025-03-25,high
TR1036,Erode,Chennai,1000,578,422,13,Weekday,No,2025-10-31,medium
TR1007,Hyderabad,Tirunelveli,1200,1039,161,44,Weekend,No,2025-12-13,high
TR1060,Erode,Tirunelveli,1000,589,411,12,Weekday,No,2024-06-17,medium
TR1052,Salem,Trichy,1000,515,485,16,Weekday,No,2024-06-21,medium
TR1010,Hyderabad,Bangalore,1200,913,287,111,Weekend,No,2024-01-28,high
